author_id,replies,customers,dm_punt,channel_punt,link_rate,thin_rate,median_sub_len,english,any_punt,substantive,score
AmazonHelp,169840,155445,0.0065,0.0476,0.413,0.0492,96.0,0.9552,0.0541,0.8978,0.9489
hulu_support,21872,21570,0.0054,0.045,0.5484,0.0007,105.0,0.998,0.0503,0.949,0.9234
GWRHelp,19364,18562,0.0145,0.0005,0.0701,0.0385,99.0,0.9999,0.015,0.9472,0.9195
MicrosoftHelps,11304,8469,0.0796,0.0029,0.5119,0.0093,105.0,0.9988,0.0824,0.9085,0.8868
SW_Help,12231,10278,0.0071,0.0011,0.1795,0.1029,94.0,0.9999,0.0083,0.8893,0.8791
McDonalds,8478,8406,0.0071,0.0,0.0946,0.0975,67.0,0.9954,0.0071,0.8954,0.873
British_Airways,29361,24108,0.14,0.0005,0.0682,0.0303,112.0,0.9993,0.1404,0.8294,0.871
AskAmex,11358,7973,0.0163,0.0241,0.0623,0.0863,89.0,0.9995,0.0403,0.8758,0.8705
BofA_Help,12683,9319,0.0937,0.0035,0.3063,0.0486,87.0,0.9988,0.0971,0.8555,0.8631
AdobeCare,9917,8234,0.091,0.001,0.4128,0.0647,104.0,0.9994,0.092,0.8444,0.8514
AmericanAir,36764,36524,0.1888,0.006,0.0647,0.0457,96.0,0.9999,0.1945,0.7654,0.8446
SouthwestAir,28977,28346,0.1698,0.0043,0.162,0.0607,102.0,0.9997,0.174,0.7661,0.839
idea_cares,15724,12911,0.2057,0.0002,0.3299,0.0024,114.0,1.0,0.2059,0.7918,0.8366
AirAsiaSupport,12829,10778,0.1741,0.002,0.0847,0.0431,102.0,0.9997,0.1759,0.7937,0.8325
XboxSupport,24557,21305,0.2093,0.0102,0.4035,0.022,91.0,0.9999,0.2195,0.7587,0.8312
marksandspencer,11504,10492,0.1126,0.0013,0.1297,0.1025,100.0,0.9964,0.1138,0.7885,0.8272
Tesco,38573,25315,0.2685,0.0006,0.0827,0.0125,124.0,0.9992,0.2688,0.7199,0.823
VirginTrains,27817,26373,0.0262,0.0032,0.132,0.2606,62.0,0.9982,0.0293,0.7165,0.8132
ATVIAssist,17650,16896,0.2373,0.0003,0.3208,0.0453,91.0,0.9998,0.2375,0.7373,0.8123
VerizonSupport,17966,17580,0.1169,0.001,0.1083,0.1706,66.0,0.9999,0.1179,0.7334,0.8108
sainsburys,19466,17735,0.2305,0.0008,0.3063,0.045,105.0,0.9997,0.2312,0.724,0.808
SpotifyCares,43265,41734,0.3088,0.0002,0.5049,0.0101,108.0,0.9975,0.3089,0.6836,0.8077
Delta,42253,36215,0.1647,0.0018,0.1534,0.1583,84.0,0.9982,0.1664,0.6814,0.8061
airtel_care,9881,7845,0.1798,0.0,0.0298,0.0992,95.0,0.9998,0.1798,0.7216,0.7899
Uber_Support,56270,55283,0.3618,0.0016,0.5128,0.033,83.0,0.9999,0.3634,0.6307,0.7878
AskPlayStation,19098,18669,0.29,0.0002,0.3663,0.051,83.0,0.9985,0.2902,0.6706,0.7809
ChipotleTweets,18749,18578,0.0127,0.0,0.2779,0.3243,55.0,0.9983,0.0127,0.666,0.7781
AskeBay,9686,8767,0.2857,0.0038,0.1828,0.0216,117.0,0.9968,0.2889,0.6919,0.7746
JetBlue,8020,7183,0.1064,0.0211,0.1968,0.1948,84.0,0.9952,0.1269,0.6843,0.7661
AskTarget,13218,13143,0.3398,0.0032,0.2512,0.0025,137.0,0.9987,0.3423,0.6559,0.7644
Morrisons,10126,8572,0.2537,0.0,0.0119,0.1061,95.0,0.9989,0.2537,0.6435,0.7515
O2,16212,15974,0.282,0.0365,0.4689,0.0996,93.0,0.9907,0.3159,0.6117,0.7473
ArgosHelpers,12174,11467,0.2984,0.0063,0.0774,0.1184,92.0,0.9994,0.304,0.5841,0.7264
Safaricom_Care,16077,13911,0.1925,0.0006,0.1068,0.2868,65.0,0.9999,0.193,0.5696,0.7261
AppleSupport,106860,106696,0.5252,0.0004,0.7535,0.0112,100.0,0.9984,0.5255,0.4673,0.7221
AldiUK,8114,7705,0.2842,0.0007,0.0669,0.1714,105.0,0.9915,0.2847,0.5445,0.6965
Ask_Spectrum,25860,25165,0.4954,0.0014,0.394,0.0193,116.0,0.9996,0.4967,0.485,0.6956
sprintcare,22381,20149,0.4782,0.0014,0.1732,0.035,103.0,0.9995,0.4796,0.49,0.6945
ChaseSupport,8811,8363,0.4752,0.0109,0.4868,0.0277,109.0,0.9995,0.4852,0.4902,0.6714
AskLyft,11809,11450,0.562,0.0066,0.7272,0.0342,105.0,0.9998,0.5685,0.4088,0.638
AirbnbHelp,8875,8403,0.595,0.0041,0.1815,0.013,132.0,0.999,0.5964,0.3923,0.6226
comcastcares,33031,30455,0.7151,0.0002,0.04,0.0153,117.0,0.9993,0.7152,0.2713,0.5949
UPSHelp,17817,17611,0.6838,0.0004,0.8506,0.0193,106.0,1.0,0.6843,0.2994,0.5935
AskPayPal,11298,11212,0.7372,0.0063,0.2685,0.0477,116.0,0.9972,0.7419,0.2396,0.5523
TMobileHelp,34317,33909,0.8284,0.0005,0.482,0.0143,101.0,0.9993,0.8285,0.1623,0.5413
